Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
2,958540667;-0,171750704;-1,252938008;-0,486684809;1,355069762
2,968624667;-0,027263575;-1,092028188;-0,688449417;1,291213176
2,978707667;-0,103808826;-0,884104562;-1,09240548;1,40917241
2,988791667;-0,056501508;-0,754766783;-1,629695016;1,796878171
2,998875667;0,170986765;-0,664143272;-2,123135113;2,231148912
3,008959667;0,256028962;-0,512862208;-2,307034723;2,377180617
3,019043667;0,18719342;-0,40646101;-2,403163533;2,444472724
3,029127667;0,143399748;-0,335318668;-2,587371292;2,612947052
3,039211667;0,185648403;-0,197773445;-2,765302064;2,778574305
3,049295667;0,20767744;-0,041728216;-2,992824242;3,000311334
3,059379667;0,112644216;0,136167765;-3,11868322;3,123686188
3,069463667;0,07700646;0,251567098;-3,156946229;3,167889754
3,079547667;-0,017005;0,256012444;-3,101574851;3,112169356
3,089631667;-0,258254979;0,343849902;-2,635766357;2,670616535
3,099715667;-0,269875187;0,357698301;-2,016150362;2,065343307
3,109799667;-0,166713291;0,223453831;-1,759786794;1,781733565
3,119883667;-0,216943651;0,160297763;-1,425279281;1,450579521
3,129967667;-0,222934105;0,205201601;-1,086308588;1,127773763
3,140051667;-0,092870723;0,247574473;-0,78690191;0,830140173
3,150135667;-0,051197361;0,271111416;-0,618900295;0,677613566
3,160219667;-0,10761424;0,392053178;-0,315412261;0,514559436
3,170303667;-0,197903765;0,626251707;-0,109197337;0,665793631
3,180387667;-0,32305501;0,793658076;-0,079099379;0,860531459
3,190471667;-0,316829407;0,929415367;0,12458487;0,989805631
3,200555667;-0,286966014;0,948317368;0,367554806;1,056764808
3,210638667;-0,265504338;0,916095702;0,531959215;1,092110111
3,220722667;-0,266524915;0,972615473;0,797680668;1,285811353
3,230806667;-0,224001825;0,874228907;1,069127129;1,39910179
3,240890667;-0,153510095;0,743204498;1,203026614;1,422389296
3,250974667;-0,241062703;0,63189427;1,165147181;1,347208057
3,261058667;-0,395175153;0,667902447;1,067088205;1,319444701
3,271142667;-0,621633576;0,722366484;1,072229077;1,43454412
3,281226667;-0,592462073;0,886866201;1,16445604;1,579082277
3,291310667;-0,358494692;1,060266843;1,280546075;1,700729983
3,301394667;-0,041324566;1,177596634;1,35176867;1,793242898
3,311478667;0,047852845;1,133013515;1,373008681;1,780775774
3,321562667;0,111623255;1,027398913;1,412858625;1,750479298
3,331646667;0,390893273;0,73055624;1,81030089;1,990904137
3,341730667;0,411656188;0,422410168;2,469306067;2,538772069
3,351814667;0,257590205;0,212879142;3,111486467;3,129379855
3,361898667;0,291206104;-0,007762764;3,773477232;3,784704966
3,371982667;0,30796722;-0,183415314;4,434965723;4,449427598
3,382066667;0,213165546;-0,41654351;4,73850872;4,761555727
3,392150667;0,242285685;-0,79054341;4,601642359;4,67533674
3,402234667;0,419574561;-1,057145454;4,176888335;4,328971643
3,412318667;0,729774175;-1,254212262;3,296317538;3,601572998
3,422402667;0,882631867;-1,265101532;1,923121161;2,465342958
3,432486667;1,018049508;-1,089879336;0,329236248;1,527304251
3,442570667;1,305424662;-0,961492168;-1,044256582;1,928489706
3,452654667;1,567689241;-0,757067223;-2,167202069;2,779849842
3,462738667;1,560588236;-0,601883728;-2,893768315;3,342393563
3,472821667;1,479697416;-0,606552145;-2,810696338;3,233794034
3,482905667;1,325565396;-0,770937111;-1,965453249;2,492884699
3,492989667;1,079874385;-1,066797306;-1,098514066;1,873744468
3,503073667;0,694002152;-1,249031045;-0,409079978;1,486292019
3,513157667;0,320729792;-1,227617079;0,177101637;1,281123055
3,523241667;0,044208048;-1,14656473;0,300940987;1,18622532
3,533325667;-0,133731212;-0,956576853;-0,05915745;0,967689473
3,543409667;-0,229229565;-0,804116698;-0,70998822;1,096919838
3,553493667;-0,347324537;-0,689028291;-1,402087469;1,600388575
3,563577667;-0,453972853;-0,534750237;-2,01788757;2,13633317
3,573661667;-0,484508621;-0,426849812;-2,383251425;2,469177337
3,583745667;-0,545990193;-0,376752331;-2,427359896;2,516371132
3,593829667;-0,631477436;-0,318877029;-2,391352158;2,493794589
3,603913667;-0,50013472;-0,238020415;-2,544636331;2,604220136
3,613997667;-0,372182293;-0,103155848;-2,875875251;2,90169248
3,624081667;-0,296793374;0,022675502;-3,082191916;3,096531526
3,634165667;-0,264581136;0,231292462;-3,092744386;3,112646337
3,644249667;-0,190088778;0,538433544;-2,986577661;3,040672714
3,654333667;-0,044595115;0,630394605;-3,033171199;3,098308184
3,664417667;-0,013506511;0,661771788;-3,146913577;3,215771973
3,674501667;-0,029367147;0,775599242;-3,052058875;3,149203072
3,684585667;0,091867953;0,939767862;-2,747056997;2,904810751
3,694669667;0,221410723;0,941389733;-2,099497744;2,311520736
3,704753667;0,315918666;0,814842392;-0,977404781;1,311141805
3,714837667;0,358713012;0,747839878;-0,03382088;0,830110451
3,724921667;0,315929813;0,674412299;0,74139537;1,050861879
3,735005667;0,288248198;0,61750398;1,316300045;1,482242894
3,745089667;0,194159646;0,581619325;1,780649074;1,883265816
3,755173667;0,115554658;0,64372845;2,101853002;2,201255378
3,765257667;0,061303817;0,758643925;1,762659531;1,919965464
3,775341667;-0,060540582;0,921056333;1,012499185;1,37009654
3,785425667;-0,097533905;0,977395279;0,437882777;1,075432807
3,795509667;0,081880589;0,995125353;-0,06905854;1,000873609
3,805593667;0,156915167;0,966476335;-0,472997646;1,087393971
3,815677667;0,124003529;0,942130575;-0,129884201;0,959091655
3,825761667;0,073394068;1,022682988;0,241232144;1,053309133
3,835845667;0,251791302;0,989815496;0,383529984;1,090976088
3,845929667;0,474646232;0,983862884;0,501855994;1,202137538
3,856013667;0,571431648;0,987462577;0,850058271;1,422749287
3,866096667;0,752963647;0,909837719;2,02092286;2,340702488
3,876180667;0,544516403;1,140713129;2,406977087;2,718687782
3,886264667;0,515150918;0,833766467;2,048496575;2,270877629
3,896348667;0,353486588;0,638018205;1,604887034;1,762861989
3,906432667;-0,055255366;0,7195759;1,668933342;1,818290716
3,916516667;-0,327647048;0,777031226;2,271311159;2,422805088
3,926600667;-0,139480743;0,806368022;2,599756864;2,725512799
3,936684667;0,543647982;0,85342656;2,884030947;3,056390768
3,946768167;0,665480019;0,406545795;3,56980117;3,653987347
3,956852167;0,169015632;-0,201571065;3,851092588;3,86006623
3,966936167;-0,304733345;-0,495278462;3,630584731;3,67686125
3,977020167;-0,562815483;-0,708412396;3,410748133;3,528712544
3,987104167;-0,353663796;-0,93215888;2,835348784;3,005528403
3,997188167;-0,141970286;-0,912596289;1,826697067;2,046902471
4,007272167;-0,50640553;-0,821724418;0,931309426;1,341273584
4,017356167;-0,78958359;-1,078218819;-0,037229222;1,336930844
4,027440167;-1,047859052;-1,181806629;-0,504891869;1,658189163
4,037524167;-1,373320045;-1,266892096;-0,597016506;1,961492349
4,047608167;-1,438454812;-1,399165323;-0,600092726;2,094499254
4,057692167;-1,356604317;-1,36090436;-0,684788475;2,039943922
4,067776167;-1,049711084;-1,310100096;-0,691902782;1,815760194
4,077860167;-0,722442717;-1,294375471;-0,831890388;1,699815565
4,087944167;-0,485906325;-1,233231283;-1,005760269;1,663886436
4,098028167;-0,22085235;-1,1712239;-1,019906437;1,568677891
4,108112167;0,116706788;-1,171517869;-0,907610661;1,486550269
4,118196167;0,483323939;-1,082180161;-1,02071043;1,564150156
4,128280167;0,688969234;-0,987456145;-1,121102445;1,645180517
4,138364167;0,736832568;-0,832077352;-1,26562515;1,684363967
4,148448167;0,460316278;-0,778530452;-1,40443688;1,670462119
4,158532167;0,063551322;-0,749959494;-1,588621835;1,757895715
4,168616167;-0,161814183;-0,667584359;-1,906174761;2,026167546
4,178700167;-0,208483698;-0,595438634;-2,107227178;2,199640653
4,188784167;-0,113180004;-0,433078413;-2,376463392;2,418252443
4,198868167;0,029111807;-0,213580661;-2,798883793;2,807172008
4,208952167;0,127813867;-0,029760281;-3,01286265;3,015719384
4,219036167;0,121550841;0,121145537;-3,248836393;3,253365758
4,229120167;0,059746374;0,246879385;-3,325018596;3,334706542
4,239204167;0,149915885;0,360190823;-3,257927644;3,281204769
4,249288167;0,279811415;0,429180074;-3,109261601;3,151189881
4,259372167;0,193425273;0,500120541;-2,516390771;2,572888728
4,269456167;0,019925009;0,53283045;-1,648808395;1,732880382
